Date : 2026-03-18 09:39:38
Directory : c:\Super_User
Total : 223 files,  54182 codes, 2224 comments, 7396 blanks, all 63802 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Super_User\t2t_admin\windows\flutter\generated_plugin_registrant.cc                | C++              |         21 |          4 |          5 |         30 |
| c:\Super_User\t2t_admin\windows\flutter\generated_plugin_registrant.h                 | C++              |          5 |          5 |          6 |         16 |
| c:\Super_User\t2t_admin\windows\flutter\generated_plugins.cmake                       | CMake            |         24 |          0 |          6 |         30 |
| c:\Super_User\t2t_admin\windows\runner\CMakeLists.txt                                 | CMake            |         34 |          0 |          7 |         41 |
| c:\Super_User\t2t_admin\windows\runner\flutter_window.cpp                             | C++              |         49 |          7 |         16 |         72 |
| c:\Super_User\t2t_admin\windows\runner\flutter_window.h                               | C++              |         20 |          5 |          9 |         34 |
| c:\Super_User\t2t_admin\windows\runner\main.cpp                                       | C++              |         30 |          4 |         10 |         44 |
| c:\Super_User\t2t_admin\windows\runner\resource.h                                     | C++              |          9 |          6 |          2 |         17 |
| c:\Super_User\t2t_admin\windows\runner\utils.cpp                                      | C++              |         54 |          2 |         10 |         66 |
| c:\Super_User\t2t_admin\windows\runner\utils.h                                        | C++              |          8 |          6 |          6 |         20 |
| c:\Super_User\t2t_admin\windows\runner\win32_window.cpp                               | C++              |        210 |         24 |         55 |        289 |
| c:\Super_User\t2t_admin\windows\runner\win32_window.h                                 | C++              |         48 |         31 |         24 |        103 |
| c:\Super_User\templates\base.html                                                     | HTML             |        176 |         17 |         17 |        210 |
| c:\Super_User\templates\contact_us.html                                               | HTML             |        368 |          9 |         30 |        407 |
| c:\Super_User\templates\dashboard.html                                                | HTML             |        382 |          9 |         19 |        410 |
| c:\Super_User\templates\departments.html                                              | HTML             |        766 |         15 |         36 |        817 |
| c:\Super_User\templates\help_center.html                                              | HTML             |        355 |         13 |         32 |        400 |
| c:\Super_User\templates\login.html                                                    | HTML             |      1,011 |         15 |         38 |      1,064 |
| c:\Super_User\templates\machine_monitor.html                                          | HTML             |        536 |         11 |         55 |        602 |
| c:\Super_User\templates\register.html                                                 | HTML             |        612 |         12 |         85 |        709 |
| c:\Super_User\templates\report_issue.html                                             | HTML             |        438 |         10 |         35 |        483 |
| c:\Super_User\templates\reports.html                                                  | HTML             |        828 |         12 |         87 |        927 |
| c:\Super_User\templates\rewards.html                                                  | HTML             |        399 |         10 |         32 |        441 |
| c:\Super_User\templates\settings.html                                                 | HTML             |        477 |          9 |         66 |        552 |
| c:\Super_User\templates\transactions.html                                             | HTML             |        327 |          6 |         18 |        351 |
| c:\Super_User\templates\users.html                                                    | HTML             |      1,110 |         11 |        124 |      1,245 |
| c:\Super_User\test_department_modal.py                                                | Python           |         66 |          6 |         19 |         91 |
| c:\Super_User\test_departments_page.py                                                | Python           |         76 |          7 |         20 |        103 |
| c:\Super_User\test_firebase_key.py                                                    | Python           |         20 |          1 |          4 |         25 |
| c:\Super_User\test_models.py                                                          | Python           |        154 |         27 |         29 |        210 |
| c:\Super_User\test_persistent_session.py                                              | Python           |         60 |         13 |         19 |         92 |
| c:\Super_User\test_rewards_display.py                                                 | Python           |         43 |          5 |         11 |         59 |
| c:\Super_User\test_super_user.py                                                      | Python           |         84 |         18 |         26 |        128 |
| c:\Super_User\test_timestamp_issue.py                                                 | Python           |         60 |          9 |         15 |         84 |
| c:\Super_User\unsent_data.json                                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Super_User\verify_departments_data.py                                              | Python           |         40 |          8 |         12 |         60 |
| Total                                                                                 |                  |     54,182 |      2,224 |      7,396 |     63,802 |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
